StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
33713,45556,80404,3699,,   Iot Car,,9.28484122,-59.275261,212.314225,2.21,-4.4248955,A8Ib        ,0.189
55027,76267,139006,5793,,  5Alp CrB,Alphekka,15.5781082,26.7149104,22.9095075,2.22,0.41992124,A0V         ,0.032
33156,44816,78647,3634,,   Lam Vel,,9.13327141,-43.432624,175.746924,2.23,-3.9944387,K4Ib-II     ,1.665
47710,65378,116656,5054,NN 3783 A, 79Zet UMa,Mizar,13.3987277,54.9254153,23.9635754,2.23,0.33224192,A2V         ,0.057
72847,100453,194093,7796,, 37Gam Cyg,,20.3704722,40.2566815,467.28972,2.23,-6.1179311,F8Ib        ,0.673
2243,3179,3712,168,, 18Alp Cas,Shedir,0.67510756,56.5374093,70.0770848,2.24,-1.9878801,K0II-IIIvar ,1.17
63252,87833,164058,6705,, 33Gam Dra,Etamin,17.9434383,51.488951,45.2488688,2.24,-1.0380386,K5III       ,1.521
18386,25930,36486,1852,, 34Del Ori,,5.53344437,-0.2990934,280.898876,2.25,-4.99275,O9.5II      ,-0.175
544,746,432,21,Gl   8   , 11Bet Cas,Caph,0.15280269,59.1502181,16.6972783,2.28,1.16677157,F2III-IV    ,0.38
48596,66657,118716,5132,,   Eps Cen,,13.664798,-53.466363,115.207373,2.29,-3.0174014,B1III       ,-0.171
56460,78401,143275,5953,,  7Del Sco,,16.0055588,-22.62162,123.152709,2.29,-3.1622199,B0.2IV      ,-0.117
59254,82396,151680,6241,, 26Eps Sco,,16.8361792,-34.29261,20.0601805,2.29,0.77832581,K2IIIb      ,1.144
52045,71860,129056,5469,,   Alp Lup,,14.6988261,-47.388141,168.067227,2.3,-3.8274152,B1.5III     ,-0.154
51714,71352,127972,5440,,   Eta Cen,,14.5917921,-42.157746,94.6073794,2.33,-2.5496251,B1Vn + A    ,-0.157
39924,53910,95418,4295,Wo 9343  , 48Bet UMa,Merak,11.0306641,56.3823448,24.348673,2.34,0.40762351,A1V         ,0.033
52212,72105,129988,5505,, 36Eps Boo,Izar,14.7497919,27.0741738,64.3086817,2.35,-1.691348,A0          ,0.966
78021,107315,206778,8308,,  8Eps Peg,Enif,21.7364279,9.87500791,206.185567,2.38,-4.1912913,K2Ibvar     ,1.52
62385,86670,160578,6580,,   Kap Sco,,17.7081333,-39.029921,142.247511,2.39,-3.3752234,B1.5III     ,-0.171
1489,2081,2261,99,,   Alp Phe,Ankaa,0.43801871,-42.305122,23.7304224,2.4,0.52347266,K0III...    ,1.083
42763,58001,103287,4554,, 64Gam UMa,Phad,11.8971504,53.694733,25.647602,2.41,0.36476618,A0V SB      ,0.044
60441,84012,155125,6378,Gl 656.1A, 35Eta Oph,,17.1729618,-15.725148,25.793139,2.43,0.37247901,A2.5Va      ,0.059
82663,113881,217906,8775,, 53Bet Peg,Scheat,23.0628704,28.0824546,61.0873549,2.44,-1.4897566,M2II-IIIvar ,1.655
