StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
20309,28434,40745,2118,,          , ,6.00490655,-12.89991193,59.88023952,6.21,2.323582356,F2IV        ,0.358
20311,28438,40325,2096,,          , ,6.00525684,44.5921069,111.8568233,6.21,0.966687594,K2III...    ,1.128
23313,32190,48073,2464,,          , ,6.72047888,37.14743034,146.627566,6.21,0.378921873,K0          ,1.026
26831,36736,60325,2897,,          , ,7.55616313,-14.33830668,462.962963,6.21,-2.117731244,B2II        ,-0.061
28517,38879,65598,3118,,          , ,7.95557675,-47.89072855,309.5975232,6.21,-1.243987388,B5V         ,-0.099
29026,39535,66552,3158,,          , ,8.0792552,18.84206757,91.57509158,6.21,1.401113192,B9V         ,-0.042
29084,39607,66684,3164,,          , ,8.09362603,27.52976278,286.5329513,6.21,-1.075872865,A0V         ,0.01
29324,39920,67977,3199,,          , ,8.15283037,-35.45504736,119.474313,6.21,0.82362729,G8III       ,0.892
31365,42538,73596,3423,,          , ,8.6717539,31.94197425,107.4113856,6.21,1.054748405,F5III       ,0.401
31552,42777,73971,3436,,          , ,8.71672062,46.90099532,126.2626263,6.21,0.703625908,G8III       ,0.981
31792,43073,75081,3488,,          , ,8.77327043,-41.12540265,220.7505519,6.21,-0.50950899,B9V         ,-0.05
32701,44231,76944,3580,,          , ,9.0085583,37.60435051,258.3979328,6.21,-0.851445175,K5          ,1.572
34115,46067,81369, , ,,,9.39438101,-46.90876865,346.0207612,6.21,-1.485510786,B7III       ,-0.093
39956,53963,95698,4302,,          , ,11.04011361,-26.83120466,53.07855626,6.21,2.585404492,A9III/IV    ,0.307
42020,56901,101369,4490,,          , ,11.6642065,-14.46851213,183.1501832,6.21,-0.104036786,A0V         ,-0.007
42153,57079,101695,4506,,          , ,11.70098156,-20.29403646,71.78750897,6.21,1.929755582,G8IV        ,0.949
43144,58545,104216,4586,,          , ,12.00523412,80.85327729,251.2562814,6.21,-0.79058464,M2III       ,1.61
44028,59851,106676,4664,,          , ,12.27329858,-72.61445993,102.2494888,6.21,1.161694274,A0V         ,-0.006
44355,60327,107655,4705,,          , ,12.36968428,24.77387685,100.3009027,6.21,1.203475792,A0V         ,-0.012
44736,60861,108530,4747,,          , ,12.4738083,-61.79483117,151.5151515,6.21,0.307719678,K2III       ,1.253
44823,60988,108845,4761,,  7    CVn, ,12.50086214,51.53556985,45.14672686,6.21,2.936868653,F7V         ,0.536
47579,65183,116061,5033,,          , ,13.35828257,-19.48928681,88.65248227,6.21,1.471545498,A2/A3V      ,0.098
48614,66690,119035,5143,,          , ,13.67100775,31.01181276,165.5629139,6.21,0.115184693,G5II:       ,0.963
48878,67071,119623,5166,,          , ,13.74602838,-25.50087935,216.4502165,6.21,-0.466790122,K3III       ,1.374
52046,71861,128917,5465,,          , ,14.69887026,-58.61573462,44.28697963,6.21,2.978619688,F4V         ,0.454
52460,72471,130227,5515,,          , ,14.81865805,-56.66753864,95.6937799,6.21,1.305581452,K3III       ,1.107
53206,73559,132763,5587,,          , ,15.03280593,-34.35881656,120.4819277,6.21,0.805390462,A8/A9III/IV ,0.242
54298,75164,136334,5696,,          , ,15.35980958,-40.74941653,97.75171065,6.21,1.259378169,A1V         ,0.068
55411,76809,139599,5821,,          , ,15.68284999,-47.73598709,271.00271,6.21,-0.954868169,K5/M0III    ,1.621
56087,77835,142357,5913,,          , ,15.89301594,16.07498779,88.33922261,6.21,1.479232134,F5II-III    ,0.413
56186,77985,142407,5916,,          , ,15.92514305,-31.08370458,121.3592233,6.21,0.789636058,K4III       ,1.371
56492,78445,143248,5952,,          , ,16.0149162,-40.43556029,113.6363636,6.21,0.932413361,A0V         ,0.01
57171,79414,146603,6069,,          , ,16.20704935,67.14427933,149.0312966,6.21,0.343612601,G8III       ,0.993
58894,81903,150573,6206,,          , ,16.72936213,-41.11914006,131.9261214,6.21,0.608346028,A4V         ,0.143
60548,84158,154556,6357,,          , ,17.20551322,-70.72089238,69.93006993,6.21,1.986680187,K1IVCN...   ,1.062
65648,91062,170873,6954,,          , ,18.5753152,-52.89141853,168.6340641,6.21,0.075273467,K2III       ,1.254
65721,91159,171746,6981,,          , ,18.59810903,16.97586994,34.21142662,6.21,3.539144077,G2Vv comp   ,0.542
65785,91250,172187,7003,,          , ,18.61264773,43.22184097,125.9445844,6.21,0.709102512,F0V         ,0.251
67494,93470,176425,7177,,          , ,19.03569353,-41.91047978,108.1081081,6.21,1.040708664,A0V         ,0.001
70654,97611,186837,7527,,          , ,19.83937563,-61.06113281,275.4820937,6.21,-0.990466875,B5V         ,-0.135
70934,97971,187653,7558,,          , ,19.91123639,-61.170815,93.28358209,6.21,1.360973927,A3V         ,0.163
73426,101213,195479,7839,,          , ,20.51613758,20.60600552,106.0445387,6.21,1.082558464,A1m         ,0.138
73427,101214,195593,7847,, 44    Cyg, ,20.51645264,36.93584939,485.4368932,6.21,-2.220663898,F5Iab       ,0.969
73809,101746,196426,7878,,          , ,20.62177181,0.09700261,197.2386588,6.21,-0.264960203,B8IIIp      ,-0.076
73818,101756,196642,7888,,          , ,20.623215,38.32877208,100.7049345,6.21,1.194746242,K0III       ,1.011
75265,103682,199960,8041,, 11    Aqr, ,21.00939228,-4.72992404,26.45502646,6.21,4.097458999,G1V         ,0.635
79927,109939,211287,8491,,          , ,22.26661467,8.54959901,121.2121212,6.21,0.792269743,A1Vn        ,0.019
82912,114227,218560,8811,,          , ,23.1325542,64.22254354,326.7973856,6.21,-1.361392868,K0          ,1.084
85166,117494,223428,9021,,          , ,23.82543828,-15.86120258,130.2083333,6.21,0.6368061,K1/K2III    ,1.212
87357,0,212698,8545,Gl 859  A, 53    Aqr, ,22.44276862,-16.74242436,20.08032129,6.21,4.696146714,  G3 V      ,0.62
76,106,224870,9083,,          , ,0.02201097,49.98158501,222.2222222,6.22,-0.513937431,G7II-III    ,0.97
828,1123,952,44,,          , ,0.23396846,33.20608481,89.84725966,6.22,1.452475822,A1V         ,0.009
2799,4023,4881,241,,          , ,0.85938636,51.57145327,352.1126761,6.22,-1.5134083,B9.5V       ,0.032
4798,6868,8949,426,,          , ,1.47301372,7.96137392,112.4859393,6.22,0.964508805,K1IIIvar    ,1.114
7758,11108,14830,697,,          , ,2.38265199,-18.35465998,118.9060642,6.22,0.843979979,G8/K0III    ,0.942
9472,13518,18265,871,,          , ,2.90179776,-50.87141943,341.2969283,6.22,-1.445661898,K4III       ,1.571
9632,13732,18153,864,,          , ,2.94740534,51.26135139,207.0393375,6.22,-0.360264346,K5III       ,1.567
11962,17086,22798,1116,,          , ,3.66065391,-3.3928423,102.7749229,6.22,1.160564201,G5          ,1.041
12676,18094,24167,1197,,          , ,3.86790393,31.16866588,126.1034048,6.22,0.716365937,A5V         ,0.206
14068,20063,27026,1328,,          , ,4.30224796,42.14124624,119.1895113,6.22,0.838809804,B9V         ,-0.072
14789,20997,28625,1431,,          , ,4.50277579,-13.59237369,132.6259947,6.22,0.606856729,K0III       ,1.001
16473,23311,32147,1614,Gl 183   ,          , ,5.01352144,-5.75097923,8.81367883,6.22,6.494213896,K3V         ,1.049
17273,24394,34045,1710,,          , ,5.23331732,-14.60686727,75.13148009,6.22,1.840890277,A9II/III    ,0.377
17540,24771,34332,1725,,          , ,5.31120092,40.46515715,207.4688797,6.22,-0.364764809,K0          ,1.386
19001,26713,37744,1950,,          , ,5.67702636,-2.8252412,515.4639175,6.22,-2.34099135,B1.5V       ,-0.194
19088,26821,37971,1962,,          , ,5.69486476,-16.72584331,374.5318352,6.22,-1.647443693,B4/B5III    ,-0.136
19455,27303,38804,2005,,          , ,5.78460581,-28.6389386,185.1851852,6.22,-0.118031201,B5III       ,-0.132
19832,27795,38645,1994,,          , ,5.88207992,68.47165107,127.2264631,6.22,0.69711273,G9III       ,0.955
20164,28232,40282,2093,,          , ,5.96514067,1.22430693,159.2356688,6.22,0.209798219,M0III       ,1.461
21596,30028,44037,2270,,          , ,6.31887299,-8.58601705,122.3990208,6.22,0.781110283,B9V         ,-0.043
22200,30769,45394,2330,, 16    Gem, ,6.46574713,20.49628855,165.0165017,6.22,0.132363121,A2Vs        ,0.041
24338,33492,51823,2611,,          , ,6.96184351,-27.53752364,312.5,6.22,-1.254250108,B2/B3V      ,-0.147
28824,39271,66011,3144,,          , ,8.03075834,8.91393208,59.63029219,6.22,2.342665313,G0IV        ,0.57
29433,40058,67959,3198,,          , ,8.18302723,14.62951511,178.2531194,6.22,-0.035185694,A1V         ,0.01
29749,40476,69445,3251,,          , ,8.26460359,-30.92591456,107.0663812,6.22,1.071734381,G6:III+...  ,0.777
31760,43035,74860,3480,,          , ,8.76858093,-11.00680266,1176.470588,6.22,-4.132905371,K5III       ,1.608
32056,43410,75332,3499,,          , ,8.84229634,33.28525915,28.68617326,6.22,3.931636914,F7Vn        ,0.549
35529,47913,84850,3887,,          , ,9.76550626,-58.79400021,80.90614887,6.22,1.680092354,F5IV        ,0.461
37272,50287,89263,4043,,          , ,10.26757112,-59.9034364,82.85004143,6.22,1.62853635,A5V         ,0.194
39776,53706,95057,4275,,          , ,10.98830323,51.88236813,208.7682672,6.22,-0.378322433,K0          ,1.352
40665,54929,97866,4364,,          , ,11.2483705,-43.73370761,529.1005291,6.22,-2.397690979,K4III       ,1.606
41933,56775,101154,4484,,          , ,11.64002526,-2.43593788,114.5475372,6.22,0.925071219,G9III       ,1.119
42937,58259,103736,4569,,          , ,11.94813142,61.5493189,187.6172608,6.22,-0.146363955,G8III       ,0.955
43575,59200,105437,4622,,          , ,12.14020473,-60.84712841,662.2516556,6.22,-2.885115264,K3/K4II     ,1.733
45127,61443,109492,4790,,          , ,12.59160718,-61.84139792,46.33920297,6.22,2.890257202,G4IV        ,0.731
45300,61703,109867,4806,,          , ,12.64787947,-67.19304671,33333.33333,6.22,-8.78,B1Ia        ,0.007
45449,61937,110377,4824,, 27    Vir, ,12.69290419,10.42626827,68.49315068,6.22,2.041764279,A7Vn        ,0.192
48640,66725,119081,5145,,          , ,13.67753422,28.06514059,117.0960187,6.22,0.877289353,K3III       ,1.311
50710,69792,124990,5344,,          , ,14.28438683,-18.58568095,117.2332943,6.22,0.874745156,K0III       ,0.985
51044,70310,126141,5387,,          , ,14.38525639,25.33801798,35.71428571,6.22,3.455790157,F5V         ,0.411
51063,70336,126035,5383,,  2    Lib, ,14.39045289,-11.71390001,101.3171226,6.22,1.191585763,G7III       ,0.99
51333,70762,127065,5416,,          , ,14.47123772,36.19701883,287.3563218,6.22,-1.07210378,K0III       ,1.174
53304,73706,133994,5629,,          , ,15.06603693,65.91973604,142.2475107,6.22,0.454776625,A2Vs        ,0.055
54902,76069,138527,5770,, 12Tau2Ser, ,15.53602133,16.05615239,132.2751323,6.22,0.612608978,B9V         ,-0.038
55358,76733,139862,5831,,          , ,15.66954342,12.05295354,324.6753247,6.22,-1.337246417,G8II        ,0.968
56077,77817,141585,5884,,          , ,15.88970473,-62.60654867,191.2045889,6.22,-0.187491556,K3III       ,1.467
56671,78699,143900,5973,,          , ,16.06519606,-24.72632678,183.1501832,6.22,-0.094036786,K2/K3III    ,1.386
58853,81847,150421,6197,,          , ,16.71765727,-46.07028333,10000000,6.22,-8.78,F5Iab       ,0.821
61511,85480,157524,6471,,          , ,17.46885507,-63.03618478,239.8081535,6.22,-0.679319725,B7/B8V      ,-0.073
61674,85692,159330,6540,,          , ,17.51210004,57.87685725,354.6099291,6.22,-1.528754458,K2III       ,1.397
62431,86732,161149,6604,,          , ,17.72278372,14.29509983,113.8952164,6.22,0.93747258,F5II        ,0.426
62574,86925,161695,6619,,          , ,17.7611754,31.50468387,1250,6.22,-4.264550065,A0Ib        ,0.008
62734,87150,161941,6633,,          , ,17.80562052,3.80419752,757.5757576,6.22,-3.177130344,B9.5V       ,0.135
63266,87850,163990,6702,,          , ,17.94680961,45.35092731,306.7484663,6.22,-1.213912,M6Sv        ,1.453
63465,88125,164028,6704,,          , ,18.00002224,-20.33949167,263.1578947,6.22,-0.881082017,K0III       ,1.405
63619,88346,164900,6741,, 97    Her, ,18.04170979,22.92324285,207.0393375,6.22,-0.360264346,B3Vn        ,-0.092
63922,88760,165516,6762,,          , ,18.11982034,-21.44393246,1298.701299,6.22,-4.347546374,B1/B2Ib     ,0.102
64924,90086,169223,6887,,          , ,18.38414903,16.68803424,151.9756839,6.22,0.311129468,K0          ,1.216
65547,90936,170773,6948,,          , ,18.5502363,-39.89182658,36.07503608,6.22,3.43396613,F5V         ,0.429
66125,91689,172546,7011,, 26    Sgr, ,18.69766952,-23.83335457,63.65372374,6.22,2.200880925,A3m...      ,0.231
66376,92021,172781,7022,,          , ,18.75664621,-56.88191929,210.0840336,6.22,-0.391965236,K3III       ,1.385
66774,92550,174881,7112,,          , ,18.85996963,28.78365926,490.1960784,6.22,-2.231849163,K1II-III    ,1.183
67233,93138,176095,7163,,          , ,18.97325292,6.24018925,56.6893424,6.22,2.452492904,F5IV        ,0.478
67890,93975,178476,7263,,          , ,19.13430403,21.69874452,43.80201489,6.22,3.012529557,F3V         ,0.434
68784,95154,183556, , ,,,19.3598707,76.55959765,571.4285714,6.22,-2.564809757,C5II        ,2.673
70122,96907,186307,7499,,          , ,19.69934052,40.25405313,83.33333333,6.22,1.61590623,A6V         ,0.182
70719,97700,188074,7577,,          , ,19.85537976,47.37719407,66.05019815,6.22,2.120629376,F2V         ,0.398
